2022-10-10 21:13:40,053 DEBUG matplotlib.pyplot MainThread : Loaded backend agg version unknown.
2022-10-10 21:13:40,080 INFO werkzeug MainThread :  * Running on http://127.0.0.1:5000 (Press CTRL+C to quit)
2022-10-10 21:13:41,295 INFO home Thread-1 : Info level log
2022-10-10 21:13:41,295 WARNING home Thread-1 : Warning level log
2022-10-10 21:13:41,317 DEBUG matplotlib.font_manager Thread-1 : findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2022-10-10 21:13:41,318 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,318 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2022-10-10 21:13:41,318 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-10-10 21:13:41,318 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,318 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,319 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,319 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-10-10 21:13:41,319 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-10-10 21:13:41,319 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,319 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2022-10-10 21:13:41,319 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,319 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2022-10-10 21:13:41,319 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2022-10-10 21:13:41,319 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,319 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,319 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,319 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-10-10 21:13:41,319 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2022-10-10 21:13:41,319 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,319 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2022-10-10 21:13:41,319 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,319 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2022-10-10 21:13:41,319 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,320 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,320 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
2022-10-10 21:13:41,320 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-10-10 21:13:41,320 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,320 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/home/toidface/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-10-10 21:13:41,320 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/freefont/FreeSerif.ttf', name='FreeSerif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,320 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/droid/DroidSansFallbackFull.ttf', name='Droid Sans Fallback', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,320 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/ubuntu/Ubuntu-Th.ttf', name='Ubuntu', style='normal', variant='normal', weight=250, stretch='normal', size='scalable')) = 10.1925
2022-10-10 21:13:41,320 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/tlwg/TlwgTypewriter.ttf', name='Tlwg Typewriter', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,320 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/samyak-fonts/Samyak-Gujarati.ttf', name='Samyak Gujarati', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2022-10-10 21:13:41,320 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/liberation2/LiberationSans-Bold.ttf', name='Liberation Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-10-10 21:13:41,320 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/padauk/PadaukBook-Regular.ttf', name='Padauk Book', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,320 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/tlwg/Norasi-Bold.ttf', name='Norasi', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-10-10 21:13:41,320 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/tlwg/Umpush-BoldOblique.ttf', name='Umpush', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2022-10-10 21:13:41,320 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/tlwg/Sawasdee-Bold.ttf', name='Sawasdee', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-10-10 21:13:41,320 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/kacst/KacstLetter.ttf', name='KacstLetter', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2022-10-10 21:13:41,320 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/tlwg/Loma-BoldOblique.ttf', name='Loma', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2022-10-10 21:13:41,320 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/tlwg/Laksaman-Bold.ttf', name='Laksaman', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-10-10 21:13:41,320 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/samyak/Samyak-Devanagari.ttf', name='Samyak Devanagari', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2022-10-10 21:13:41,321 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/fonts-yrsa-rasa/Yrsa-Light.ttf', name='Yrsa', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145
2022-10-10 21:13:41,321 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/pagul/Pagul.ttf', name='Pagul', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,321 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/opentype/mathjax/MathJax_Size2-Regular.otf', name='MathJax_Size2', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,321 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/lao/Phetsarath_OT.ttf', name='Phetsarath OT', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,321 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/lohit-bengali/Lohit-Bengali.ttf', name='Lohit Bengali', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,321 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/ttf-bitstream-vera/VeraSeBd.ttf', name='Bitstream Vera Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-10-10 21:13:41,321 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/liberation/LiberationSans-Bold.ttf', name='Liberation Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-10-10 21:13:41,321 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/ubuntu/Ubuntu-L.ttf', name='Ubuntu', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145
2022-10-10 21:13:41,321 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/opentype/urw-base35/NimbusRoman-Italic.otf', name='Nimbus Roman', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2022-10-10 21:13:41,321 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/opentype/noto/NotoSansCJK-Regular.ttc', name='Noto Sans CJK JP', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,321 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/kacst/mry_KacstQurn.ttf', name='mry_KacstQurn', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,321 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/lohit-telugu/Lohit-Telugu.ttf', name='Lohit Telugu', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,321 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/ttf-bitstream-vera/VeraMoIt.ttf', name='Bitstream Vera Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2022-10-10 21:13:41,321 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/tlwg/TlwgTypist-BoldOblique.ttf', name='Tlwg Typist', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2022-10-10 21:13:41,321 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/fonts-yrsa-rasa/Yrsa-Medium.ttf', name='Yrsa', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2022-10-10 21:13:41,321 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/tlwg/Waree.ttf', name='Waree', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,321 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/freefont/FreeSerifItalic.ttf', name='FreeSerif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2022-10-10 21:13:41,321 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/tlwg/Norasi-Oblique.ttf', name='Norasi', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2022-10-10 21:13:41,321 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/opentype/mathjax/MathJax_SansSerif-Bold.otf', name='MathJax_SansSerif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-10-10 21:13:41,322 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/liberation/LiberationSerif-Italic.ttf', name='Liberation Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2022-10-10 21:13:41,322 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/ttf-khmeros-core/KhmerOS.ttf', name='Khmer OS', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,322 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/fonts-yrsa-rasa/Rasa-Medium.ttf', name='Rasa', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2022-10-10 21:13:41,322 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/opentype/urw-base35/URWGothic-Demi.otf', name='URW Gothic', style='normal', variant='normal', weight=600, stretch='normal', size='scalable')) = 10.24
2022-10-10 21:13:41,322 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/fonts-yrsa-rasa/Yrsa-Regular.ttf', name='Yrsa', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,322 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/opentype/urw-base35/NimbusSansNarrow-Regular.otf', name='Nimbus Sans Narrow', style='normal', variant='normal', weight=400, stretch='condensed', size='scalable')) = 10.25
2022-10-10 21:13:41,322 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/opentype/urw-base35/NimbusMonoPS-Bold.otf', name='Nimbus Mono PS', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-10-10 21:13:41,322 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/opentype/urw-base35/NimbusRoman-Bold.otf', name='Nimbus Roman', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-10-10 21:13:41,322 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/tlwg/TlwgTypewriter-BoldOblique.ttf', name='Tlwg Typewriter', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2022-10-10 21:13:41,322 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/opentype/mathjax/MathJax_Size3-Regular.otf', name='MathJax_Size3', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,322 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/ubuntu/UbuntuMono-R.ttf', name='Ubuntu Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,322 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/opentype/urw-base35/P052-Roman.otf', name='P052', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,322 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/opentype/urw-base35/URWGothic-BookOblique.otf', name='URW Gothic', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2022-10-10 21:13:41,322 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/samyak-fonts/Samyak-Tamil.ttf', name='Samyak Tamil', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2022-10-10 21:13:41,322 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/ubuntu/Ubuntu-B.ttf', name='Ubuntu', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-10-10 21:13:41,322 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/opentype/urw-base35/P052-Bold.otf', name='P052', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-10-10 21:13:41,322 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/malayalam/Karumbi-Regular.ttf', name='Karumbi', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,322 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/lyx/wasy10.ttf', name='wasy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-10 21:13:41,322 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/opentype/urw-base35/URWBookman-LightItalic.otf', name='URW Bookman', style='italic', variant='normal', weight=300, stretch='normal', size='scalable')) = 11.145
2022-10-10 21:13:41,323 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/opentype/malayalam/Gayathri-Thin.otf', name='Gayathri', style='normal', variant='normal', weight=100, stretch='normal', size='scalable')) = 10.335
2022-10-10 21:13:41,323 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/truetype/ttf-bitstream-vera/VeraIt.ttf', name='Bitstream Vera Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.9590909090909092
2022-10-10 21:13:41,323 DEBUG matplotlib.font_manager Thread-1 : findfont: score(FontEntry(fname='/usr/share/fonts/opentype/mathjax/MathJax_AMS-Regular.otf', name='MathJax_AMS', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
